submitted_on,latitude,longitude,waste_active,type_of_wastesite,site_open_year,site_managed_local,site_close_year,site_years_open,waste_state,waste_category,pollution_evidence,solidwaste_source,municipal_pop_served,municipal_ops_type,municipal_ops_other,commercial_ops_type,industrial_ops_type,sludge_source,sludge_source_other,sludge_ops_type,sludge_ops_other,drinking_treatment,drinking_sludge_local,waste_water_treatment,waste_water_board_mgmt,waste_water_manager,waste_water_sludge_local,waste_water_category
07/08/2018,-14.8732587,35.5288519,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9274027,33.8234558,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9264082,33.8231145,Yes,Human,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9263908,33.823103,Yes,NA,2/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9280061,33.8246603,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.928368,33.8245093,Yes,NA,1/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9283831,33.8245646,Yes,NA,1/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9283966,33.82463,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9285964,33.8248681,Yes,NA,1/1/2013,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.929324,33.8245537,Yes,NA,1/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9291471,33.824599,Yes,NA,1/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9291207,33.8246159,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9292009,33.8244435,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9288157,33.824102,Yes,NA,1/1/2015,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9287179,33.8226382,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9292938,33.8230827,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.929367,33.8233908,Yes,NA,1/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/08/2018,-13.9291763,33.8234942,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.5196986,35.20436,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-15.2016408,35.422621,Yes,NA,2/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-15.2024494,35.4210699,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-15.2030448,35.420963,Yes,NA,6/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-15.2023544,35.4216716,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.7400817,35.565689,Yes,NA,1/1/1999,No,NA,NA,Solid waste,Medical waste,No,Municipal - community waste site,50 - 500,Incineration (Burning of Waste) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.7164416,35.5504545,Yes,NA,1/1/2010,Yes,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4928717,35.5857133,Yes,NA,7/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4907295,35.5858681,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.7400474,35.5657481,Yes,NA,1/1/1999,No,NA,NA,Solid waste,Medical waste,No,Municipal - community waste site,50 - 500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.741699,35.5648006,Yes,NA,1/1/1998,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4613109,35.600075,Yes,NA,7/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4612325,35.5990959,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4597559,35.5979884,Yes,Human,7/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.3738896,35.5380453,Yes,NA,6/1/2017,No,NA,NA,Solid waste,Household waste,No,Municipal - community waste site,50 - 500,Incineration (Burning of Waste) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.3711217,35.60234,Yes,NA,1/1/2013,No,NA,NA,Solid waste,Household waste,No,"Commercial - collection and disposal, Domestic - household (< 50 people)",NA,NA,NA,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.3183723,34.8009498,Yes,NA,3/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.31365,34.8081475,Yes,NA,8/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-15.0698155,35.2275734,Yes,NA,8/1/2018,Yes,NA,NA,Solid waste,Hazardous waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.4885415,35.586362,Yes,NA,7/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.7129609,35.7990823,Yes,Human,5/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,50 - 500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.42213,35.603955,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.0380681,33.3910966,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.3511858,35.1581155,Yes,NA,10/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-14.5991267,35.6415767,Yes,NA,3/1/2018,Yes,NA,NA,Solid waste,Hazardous waste,No,Commercial - collection and disposal,NA,NA,NA,Incineration (Burning of Waste) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-13.9299086,33.8250505,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-13.9312552,33.8257936,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-13.9314028,33.8257606,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/08/2018,-13.9315667,33.8258745,Yes,NA,1/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/08/2018,-14.8678241,35.5295045,Yes,NA,10/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/08/2018,-13.824479,33.5945668,Yes,Human,3/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/08/2018,-14.023903,33.3899368,Yes,NA,1/1/2010,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-14.0072287,33.4214637,Yes,NA,8/1/2001,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8211324,33.5944556,Yes,NA,2/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8227672,33.5943441,Yes,NA,6/1/2007,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8224414,33.5945519,Yes,NA,1/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8222793,33.5950447,Yes,NA,7/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8211779,33.5941937,Yes,NA,3/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8229551,33.594621,Yes,NA,5/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8234048,33.594942,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8220536,33.5950242,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8236736,33.5950602,Yes,NA,4/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8227028,33.5948181,Yes,NA,7/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8222986,33.5939648,Yes,NA,8/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.821776,33.5947557,Yes,NA,7/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8220709,33.594805,Yes,NA,1/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8231325,33.5943451,Yes,NA,3/1/2009,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-13.8219134,33.5948569,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/08/2018,-14.5819913,35.5333094,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8209673,33.5947513,Yes,NA,7/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8215861,33.5943657,Yes,NA,7/1/2010,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8210162,33.5942456,Yes,NA,3/1/2011,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8222411,33.5945743,Yes,NA,4/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8227866,33.5942775,Yes,NA,9/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8232908,33.5952853,Yes,NA,5/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8239016,33.5952956,Yes,NA,3/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8243973,33.5952602,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-13.8242259,33.5952618,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-14.1585971,35.4590586,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-14.0875233,34.9216533,Yes,NA,3/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/08/2018,-14.0881283,34.9216117,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/08/2018,-13.8438226,33.4536411,Yes,NA,8/1/2007,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/08/2018,-13.8427091,33.4530825,Yes,NA,3/1/2010,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/08/2018,-14.9398803,34.744311,Yes,NA,2/1/2016,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,50 - 500,Disposal (Landfill) Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/08/2018,-13.9309308,33.3934412,Yes,NA,4/1/2016,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/08/2018,-13.8437732,33.4539131,Yes,NA,7/1/2010,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.9019789,34.7312811,Yes,NA,5/1/2015,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.9025932,34.7307118,Yes,Human,5/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.9023394,34.7311368,Yes,NA,5/1/2018,No,NA,NA,Solid waste,Non-hazardous waste,No,Municipal - community waste site,500 - 2500,Handling and Storage Unlicensed Operation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.9027773,34.7306667,Yes,NA,5/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.9051664,34.7296677,Yes,NA,9/1/2017,No,NA,NA,Solid waste,Non-hazardous waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/08/2018,-14.2085384,33.7418866,Yes,NA,8/1/2006,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/2018,-15.4502619,35.2838182,Yes,NA,1/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/2018,-14.1024222,33.8428454,Yes,NA,6/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/08/2018,-14.1042251,33.8374506,Yes,NA,8/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/08/2018,-14.1139052,34.0406564,Yes,NA,8/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15/08/2018,-14.1146986,33.8332934,Yes,NA,7/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-14.0398184,33.7886989,Yes,NA,7/1/2017,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7919203,33.602044,Yes,NA,7/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7923049,33.60152,Yes,Human,6/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7893713,33.6021548,Yes,NA,5/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7893527,33.6014618,Yes,NA,2/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7904789,33.6018472,Yes,NA,3/1/2012,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7907542,33.6019538,Yes,NA,10/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7899855,33.601979,Yes,NA,4/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7904078,33.6017241,Yes,NA,6/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7912534,33.6020277,Yes,NA,9/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7885873,33.6021496,Yes,NA,3/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7883397,33.6021104,Yes,NA,6/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7871798,33.6021618,Yes,NA,7/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/08/2018,-13.7864026,33.6025437,Yes,NA,7/1/2014,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2018,-13.7866801,33.6024968,Yes,NA,2/1/2017,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2018,-13.7868791,33.6025611,Yes,NA,6/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2018,-13.7873452,33.6024615,Yes,NA,2/1/2013,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2018,-13.7873922,33.6025526,Yes,NA,8/1/2015,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/08/2018,-13.9768664,33.3523661,Yes,NA,8/1/2018,No,NA,NA,Solid waste,Household waste,No,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/08/2018,-14.0749459,33.4363393,Yes,NA,1/1/2016,No,NA,NA,Solid waste,Household waste,Yes,Domestic - household (< 50 people),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
